,hdim,lookback,loss,loss_adjusted,lr
0,25,0,5.0169758618374996,5.372951877571648,0.5
1,25,0,5.223393290312879,5.605366528319337,0.1
2,25,0,5.397833785903884,5.80177691458608,0.05
3,25,2,4.965089619975281,5.314530828195693,0.5
4,25,2,5.179683685857464,5.556151922126156,0.1
5,25,2,5.396695506807548,5.800495275043421,0.05
6,25,5,4.9536389690632365,5.301638026205992,0.5
7,25,5,5.225334464792017,5.6075521838230475,0.1
8,25,5,5.374936094502318,5.775995375743501,0.05
9,50,0,4.974252947151467,5.324848229691634,0.5
10,50,0,5.112052900496995,5.480003384304311,0.1
11,50,0,5.271529818836897,5.659565607087776,0.05
12,50,2,5.030228392847363,5.387873497266893,0.5
13,50,2,5.120321860165079,5.489313777266278,0.1
14,50,2,5.3096764756303445,5.702516640735105,0.05
15,50,5,5.012751014095544,5.368194931805675,0.5
16,50,5,5.129988012287022,5.5001973319452055,0.1
17,50,5,5.2959524837456735,5.687064182072583,0.05
